"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-0.350930990573893,1.77876591423257,-0.197289023679824,0.843601368379935
"A",-0.139959576423167,0.280009283919157,-0.499839056992036,0.617188406916698
"B",0.281341993659579,0.45269563515662,0.621481569094967,0.534282817587795
"C",-0.0863897089508603,0.127264898234056,-0.678818041342231,0.49725316102614
"D",0.25384056256302,0.137570531022356,1.84516669868614,0.0650132931303631
"E",0.0242915650540755,0.170325083813915,0.142618835171775,0.886591221232727
"F",0.167714088173808,1.06345507604413,0.157706791712986,0.874687848459688
"G",0.151677441498571,0.170294363378506,0.890677991269996,0.373101945247228
"H",0.0175475483109696,0.298995579065127,0.0586883202950216,0.953200362357691
