"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-9.71242978858372,8.8483944719517,-1.09764882424387,0.27235786432609
"Ecosystempond",-0.486353637463987,1.16735535404579,-0.416628609084966,0.676950080065552
"Nat.LndCov.Ext",0.152299958482481,0.389577441550658,0.390936286958178,0.695844331001436
"Nat.Littor.Zone",1.50188813137312,2.18880561867856,0.68616788926184,0.492607244149046
"Littor.Habitat.Ext",-0.869790363210177,0.389642886621769,-2.23227574036144,0.025596744231343
"Littor.Habitat.Div",2.17067298005771,0.826206240275815,2.62727739666196,0.00860711364916857
"Macroph_Cover",-0.111301465242644,0.0494767950517074,-2.24956901768445,0.0244763170357043
"Macroph_Invas.Prcnt",0.00220496003980021,0.033522288479262,0.0657759401230697,0.947556211744266
