"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",2.16151099263185,1.90533672142321,1.13445091795496,0.256605450960749
"Fish_abundance",0.0062261513515757,0.00223592569848265,2.78459671347796,0.00535943354238959
"Ecosystempond",-0.894096198247259,0.265267615988889,-3.3705441009607,0.000750198970732733
"Nat.LndCov.Ext",0.190095634925286,0.108118988542856,1.7582076699685,0.0787121806705697
"Nat.Littor.Zone",-0.517692649171411,0.4865209655079,-1.06407058662101,0.287296724244096
"Littor.Habitat.Ext",-0.223131323925936,0.141072080890547,-1.58168308369292,0.113721936377017
"Littor.Habitat.Div",0.361847727795937,0.19494786291059,1.85612564504948,0.0634356511779135
"Macroph_Cover",-0.00436181141580149,0.0145995380530586,-0.298763659504122,0.765120380694891
"Macroph_Invas.Prcnt",-0.0250193648557408,0.0129369086636361,-1.93395234566871,0.0531189872662782
