"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",0.571365100776094,1.50971844426146,0.378458051531325,0.705090350409047
"A",0.00598819437222337,0.251312474338687,0.0238276845905916,0.980990057205441
"B",-0.0757628717144945,0.35807403369734,-0.211584378046616,0.832431297919436
"C",-0.0288163185896646,0.108027265906223,-0.266750420349246,0.789661330161176
"D",-0.245519478036143,0.115197079250219,-2.13129950545752,0.0330644757911883
"E",-0.0154719681922038,0.158032343763596,-0.0979038076872963,0.92200867641809
"F",-1.20879001203795,0.870188562678658,-1.38911273243696,0.164798472620568
"G",-0.0827966844708517,0.139911221228548,-0.591780157044027,0.553997812384156
"H",0.0184929891477299,0.259322655652083,0.0713126629882306,0.943148917282044
