"","Value","Std.Error","DF","t-value","p-value"
"(Intercept)",1.60616252108018,0.876195332868867,25,1.83311010778981,0.0787214501315104
"A",-0.0926838473999389,0.140471495588893,25,-0.659805371982295,0.515411826533932
"B",0.0332296507319329,0.220575591822244,25,0.150649718118911,0.881460990981003
"C",0.0517640302525412,0.0770971378781061,25,0.67141312475675,0.508114408767294
"D",-0.0223854745873249,0.0603705127399159,25,-0.370801465340612,0.713908936818721
"E",0.197251081293796,0.0993415743341328,25,1.98558441031292,0.0581512782806971
"F",0.232838905668817,0.449072699124402,25,0.518488222781755,0.608676771698223
"G",-0.00391819365063024,0.0796909573436989,25,-0.0491673557607229,0.961176634352582
"H",-0.194628574696304,0.169944798184952,25,-1.14524584909323,0.262952958707913
